epoch,step,train_loss,val_loss
0,49,0.22082501649856567,
0,99,0.2386183887720108,
0,149,0.30219122767448425,
0,199,0.2627972960472107,
0,239,,0.42370906472206116
1,249,0.19775769114494324,
1,299,1.2540547847747803,
1,349,0.5693143010139465,
1,399,0.315879225730896,
1,449,0.06976912170648575,
1,479,,0.3763583302497864
2,499,0.2080027014017105,
2,549,0.15915152430534363,
2,599,0.2501426637172699,
2,649,0.3082997798919678,
2,699,0.2517327666282654,
2,719,,0.3372640907764435
3,749,0.2605719566345215,
3,799,1.0364679098129272,
3,849,0.7476975917816162,
3,899,0.1014043390750885,
3,949,0.285787969827652,
3,959,,0.39109715819358826
4,999,0.3342970609664917,
4,1049,0.17681919038295746,
4,1099,0.3766983449459076,
4,1149,0.17554056644439697,
4,1199,0.25846242904663086,
4,1199,,0.4237774908542633
5,1249,0.23199042677879333,
5,1299,0.0880671888589859,
5,1349,0.13794752955436707,
5,1399,0.14535555243492126,
5,1439,,0.5875287055969238
6,1449,0.15408319234848022,
6,1499,0.1755915880203247,
6,1549,0.17832988500595093,
6,1599,0.3221428692340851,
6,1649,0.09113121032714844,
6,1679,,0.43596166372299194
7,1699,0.15875837206840515,
7,1749,0.1657247692346573,
7,1799,0.16356296837329865,
7,1849,0.17634610831737518,
7,1899,0.144067645072937,
7,1919,,0.44908419251441956
