epoch,step,train_loss,val_loss
0,49,0.3445476293563843,
0,99,0.5087255239486694,
0,149,0.2667430639266968,
0,199,0.3650362193584442,
0,239,,0.20092055201530457
1,249,0.37771233916282654,
1,299,0.17270763218402863,
1,349,0.25053444504737854,
1,399,0.21071913838386536,
1,449,0.3297419250011444,
1,479,,0.3112173080444336
2,499,0.3158978819847107,
2,549,0.4456879496574402,
2,599,0.8805484771728516,
2,649,0.603956937789917,
2,699,0.31776320934295654,
2,719,,0.4173205494880676
3,749,0.5170508623123169,
3,799,0.8356116414070129,
3,849,2.584869146347046,
3,899,0.3599298298358917,
3,949,0.10163118690252304,
3,959,,0.16335982084274292
4,999,2.3048899173736572,
4,1049,0.48373228311538696,
4,1099,0.1653672307729721,
4,1149,0.18854591250419617,
4,1199,0.19732211530208588,
4,1199,,0.19266875088214874
5,1249,0.6205202341079712,
5,1299,0.3070412278175354,
5,1349,0.31147560477256775,
5,1399,0.22404788434505463,
5,1439,,0.40574997663497925
6,1449,0.4596553444862366,
6,1499,1.185413122177124,
6,1549,0.09626089781522751,
6,1599,0.1834704875946045,
6,1649,0.7695385217666626,
6,1679,,0.32718625664711
7,1699,0.7207024097442627,
7,1749,0.6180747747421265,
7,1799,0.3087519109249115,
7,1849,0.19383396208286285,
7,1899,0.11529973149299622,
7,1919,,0.2548328936100006
8,1949,0.1087532490491867,
8,1999,0.21711871027946472,
8,2049,0.22082023322582245,
8,2099,0.6351394057273865,
8,2149,0.2765679657459259,
8,2159,,0.4882665276527405
